medcodeid,term
2537483013,chronic coronary insufficiency
2548238014,cardiovascular disease interim monitoring
2549758019,cardiovascular disease monitoring
256452010,ecg: myocardial infarction
256454011,ecg: old myocardial infarction
256455012,ecg: antero-septal infarct.
256457016,ecg:posterior/inferior infarct
256458014,ecg: subendocardial infarct
256459018,ecg: lateral infarction
256460011,ecg: myocardial infarct nos
256508017,ecg: q wave abnormal
2609111000000119,non-obstructive coronary atherosclerosis
2619484018,mi - myocardial infarction aborted
264468016,cardiac drug side effects
264469012,cardiac treatment changed
264489013,cardiac drug monitoring
264491017,cardiac drug monitoring nos
264492012,angina control
264493019,angina control - good
264494013,angina control - poor
264495014,angina control - improving
264496010,angina control - worsening
264497018,angina control nos
264500012,chd monitoring
264505019,cardiac disease monitoring nos
2674338011,cardiomemo electrocardiographic monitoring
2675882017,percutaneous transluminal balloon angioplasty of artery
271073015,saphenous vein graft replacement of one coronary artery
271074014,saphenous vein graft replacement of two coronary arteries
271075010,saphenous vein graft replacement of three coronary arteries
271079016,saphenous vein graft replacement coronary artery nos
271080018,other autograft replacement of coronary artery
271081019,autograft replacement of one coronary artery nec
271082014,autograft replacement of two coronary arteries nec
271083016,autograft replacement of three coronary arteries nec
271084010,autograft replacement of four of more coronary arteries nec
271086012,other autograft replacement of coronary artery nos
271087015,allograft bypass of coronary artery
271088013,allograft replacement of coronary artery
271089017,allograft replacement of one coronary artery
271092018,allograft replacement of two coronary arteries
271093011,allograft replacement of three coronary arteries
271094017,allograft replacement of four or more coronary arteries
271095016,other specified allograft replacement of coronary artery
271096015,allograft replacement of coronary artery nos
271097012,prosthetic bypass of coronary artery
271098019,prosthetic replacement of coronary artery
271099010,prosthetic replacement of one coronary artery
271100019,prosthetic replacement of two coronary arteries
271101015,prosthetic replacement of three coronary arteries
271102010,prosthetic replacement of four or more coronary arteries
271103017,other specified prosthetic replacement of coronary artery
271104011,prosthetic replacement of coronary artery nos
271105012,revision of bypass for coronary artery
271106013,revision of bypass for one coronary artery
271107016,revision of bypass for two coronary arteries
271108014,revision of bypass for three coronary arteries
271109018,revision of bypass for four or more coronary arteries
271110011,revision of connection of thoracic artery to coronary artery
271112015,other specified revision of bypass for coronary artery
271113013,revision of bypass for coronary artery nos
271114019,connection of mammary artery to coronary artery
271115018,creation of bypass from mammary artery to coronary artery
271126012,single implantation of mammary artery into coronary artery
271128013,connection of mammary artery to coronary artery nos
271129017,connection of other thoracic artery to coronary artery
271132019,single anastomosis of thoracic artery to coronary artery nec
271135017,connection of other thoracic artery to coronary artery nos
271148018,transluminal balloon angioplasty of coronary artery nos
271162013,endarterectomy of coronary artery nec
271165010,other replacement of coronary artery
271166011,replacement of coronary arteries using multiple methods
271167019,other specified replacement of coronary artery
271168012,replacement of coronary artery nos
271169016,other bypass of coronary artery
271170015,other specified other bypass of coronary artery
271171016,other bypass of coronary artery nos
272107018,percutaneous transluminal angioplasty of artery nec
272117011,rotary blade angioplasty
272295013,peroperative angioplasty
282602016,cardiac emergency monitoring
283514010,admit to cardiac itu
2880671000006112,cardiac monitoring
299650019,malignant hypertensive heart disease nos
299707016,other specified anterior myocardial infarction
299708014,acute anteroapical infarction
299709018,anterior myocardial infarction nos
299710011,posterior myocardial infarction nos
299711010,lateral myocardial infarction nos
299712015,true posterior myocardial infarction
299714019,inferior myocardial infarction nos
299718016,other acute myocardial infarction
299719012,acute atrial infarction
299720018,other acute myocardial infarction nos
299721019,acute myocardial infarction nos
299723016,other acute and subacute ischaemic heart disease
299741012,preinfarction syndrome nos
299742017,coronary thrombosis not resulting in myocardial infarction
299745015,acute coronary insufficiency
299750014,other acute and subacute ischaemic heart disease nos
299757012,angina pectoris
299758019,stenocardia
299763015,angina decubitus nos
299765010,angina pectoris nos
299776014,other chronic ischaemic heart disease
299790012,aneurysm of heart nos
299796018,ischaemic cardiomyopathy
299800012,other specified chronic ischaemic heart disease
299804015,other specified chronic ischaemic heart disease nos
299805019,other chronic ischaemic heart disease nos
299808017,subsequent myocardial infarction
299811016,subsequent myocardial infarction of anterior wall
299812011,subsequent myocardial infarction of inferior wall
299813018,subsequent myocardial infarction of other sites
299834013,other specified ischaemic heart disease
299835014,ischaemic heart disease nos
299871010,other forms of heart disease
300197013,other specified heart disease
300237015,other ill-defined heart disease nos
300238013,other heart disease nos
300239017,heart disease nos
300874013,[x]other forms of angina pectoris
300876010,[x]other forms of acute ischaemic heart disease
300879015,[x]other forms of chronic ischaemic heart disease
300881018,[x]subsequent myocardial infarction of other sites
300882013,[x]subsequent myocardial infarction of unspecified site
300886011,[x]other forms of heart disease
300925013,[x]other ill-defined heart diseases
300989017,[x]other functional disturbances following cardiac surgery
311461000000116,insertion of drug-eluting coronary artery stent
32122016,status anginosus
324808010,mechanical complication of coronary bypass
338974012,ischaemic chest pain
348644016,coronary artery bypass graft operations
350348018,stable angina
350350014,new onset angina
350354017,silent myocardial ischaemia
350376014,silent myocardial infarction
350379019,cardiac syndrome x
354901000000117,percutaneous transluminal atherectomy of coronary artery
36036010,syncope anginosa
362461000006119,[x]acute transmural myocardial infarction of unspecif site
36861000006113,other autograft replacement of coronary artery os
37443015,heart attack
39111000006114,other acute and subacute ischaemic heart disease
3932321000006112,cardiac monitor surveillance
394286010,double anastomosis of mammary arteries to coronary arteries
394541000006112,[x]ischaemic heart diseases
395755010,other cardiac wall aneurysm
395775018,other ill-defined heart disease
39773018,coronary artery spasm
401515016,cardiac disease monitoring
401516015,heart disease monitoring
4031011,old myocardial infarction
4032016,healed myocardial infarction
405092018,single anastomosis of mammary artery to coronary artery nec
406961000000113,coronary heart disease monitoring telephone invite
408571000006116,[x]other current complicatns following acute myocard infarct
411159010,lima single anastomosis
411160017,rima single anastomosis
411503014,mural cardiac aneurysm
411874010,h/o: myocardial problem
4230015,repair of aneurysm of coronary artery
442204010,angina on effort
447324018,acute q-wave infarct
449302011,referral to cardiac rehabilitation nurse
450322013,acute non-q wave infarction
451132018,[v]presence of coronary artery bypass graft
451369010,h/o: myocardial infarction in last year
451370011,h/o: angina in last year
451372015,h/o: treatment for ischaemic heart disease
451425016,antianginal therapy
451824012,referral to cardiologist
453269016,[v]status following coronary angioplasty nos
455422014,postoperative subendocardial myocardial infarction
455423016,"postoperative myocardial infarction, unspecified"
455641000006112,acute anterolateral infarction
455651000006114,acute anteroseptal infarction
456362017,prosthetic graft patch angioplasty
456363010,percutaneous transluminal angioplasty of vascular graft
457274011,admit cardiology emergency
457285013,cardiac rehabilitation
457531000006110,acute inferolateral infarction
458410010,post infarct angina
459483011,coronary heart disease monitoring refused
459487012,refractory angina
459488019,transient myocardial ischaemia
459708017,door to needle time
459859010,asymptomatic coronary heart disease
460133017,coronary heart disease annual review
460681000006116,acute transmural myocardial infarction of unspecif site
460686018,[v]presence of aortocoronary bypass graft
460687010,[v]presence of coronary angioplasty implant and graft
460925019,[v]cardiac rehabilitation
482811000006113,angina at rest
482911000006118,angina grading (canadian cardiovascular society)
482941000006119,angina pectoris nos
482961000006115,anginal control: no attacks
484402013,percutaneous transluminal laser coronary angioplasty
494260016,impending infarction
494261017,worsening angina
494438016,subendocardial ischaemia
498031000006112,atrial septal defect/curr comp folow acut myocardal infarct
498328016,angina at rest
504901000006118,benign hypertensive heart disease with ccf
537341000006118,cardiac diseases
537751000006115,cardiac rupture following myocardial infarction (mi)
543291000006110,certain current complication follow acute myocardial infarct
585631000000113,admit ischaemic heart disease emergency
589721000006114,connection of mammary artery to coronary artery os
589781000006113,connection of other thoracic artery to coronary artery os
5952671000006110,referral to cardiothoracic surgery service
595731000006114,coronary atherosclerosis
59952018,nocturnal angina
616081000006113,diab mellit insulin-glucose infus acute myocardial infarct
627951000006112,double anastom thoracic arteries to coronary arteries nec
628021000006118,double implant of mammary arteries into coronary arteries
628031000006115,double implant thoracic arteries into coronary arteries nec
635061000006116,ecg: q wave pathological
67081000006119,ventric septal defect/curr comp fol acut myocardal infarctn
682481000006118,myocardial infarction aborted
72571000006115,unstable angina
728671000006119,malignant hypertensive heart disease with ccf
728681000006116,malignant hypertensive heart disease without ccf
732801000000119,cardiac troponin positive
741681000006111,hypertensive heart disease nos with ccf
7844010,preinfarction syndrome
7845011,unstable angina
7847015,crescendo angina
7966931000006114,angina associated with type 2 diabetes mellitus
7966941000006116,angina associated with type ii diabetes mellitus
7966951000006119,diabetic angina pectoris associated with type 2 diabetes mellitus
810811000006116,h/o: myocardial infarct <60
810821000006112,h/o: myocardial infarct >60
813961000006116,haemopericardium/current comp folow acut myocard infarct
84241012,aneurysm of coronary vessels
854491000006113,unstable angina
855991000006115,angina control - stable
856011000006116,angina control - unsatisfactory
856451000006113,possible angina
865061000006117,ruptured heart aneurysm repair
865091000006113,heart aneurysm excision
865181000006111,coronary artery venous graft
865191000006114,insertn coronary artery stent
865201000006112,coronary a revasc. by-pass
865211000006110,heart: int. mammary a implant
865221000006119,int.mammary coronary a by-pass
865281000006115,angioplasty of coronary artery
865291000006117,coronary angioplasty
865301000006116,percut angiopl coronary artery
883951000006115,acute rh. heart disease nos
884141000006116,coronary thrombosis
884151000006119,myocardial infarction
89332015,atherosclerotic heart disease
89711000006118,transluminal balloon angioplasty of coronary artery
89731000006112,transluminal balloon angioplasty of coronary artery os
900001000006119,bypass graft mech. complic.
90135019,malignant hypertensive heart disease
904661000006118,cardiothoracic surgery referral
904831000006114,cardiology referral
905351000006113,[rfc] myocardial infarction (mi)
905361000006110,[rfc] chronic heart disease (chd)
905381000006117,[rfc] angina
905401000006117,[rfc] post-cardiac surgery
90731000000111,refuses coronary heart disease monitoring
908791000006113,[rfc] coronary heart disease
909401000006115,[rfc] cardiac rehabilitation
931961000006117,acute coronary syndrome
932081000006118,first myocardial infarction
933021000006113,angioplasty of coronary artery
939671000006116,cardiac rehabilitation book given
94884017,acute myocardial infarction
960181000006111,anginal pain
967931000006114,acute posterolateral myocardial infarction
970861000006117,cardiac rehabilitation declined
98087016,angina decubitus
981131000033119,trangina xl
987711000006115,int.mammary coronary a by-pass
